PDB    Inhibitor     Inhibitor_Code  Kinase
1XKK   Lapatinib     FMM             EGFR
2EUF   Palbociclib   LQQ             CDK6
2HYY   Imatinib      STI             ABL
2ITO   Gefitinib     IRE             EGFR
2ITY   Gefitinib     IRE             EGFR
2ITZ   Gefitinib     IRE             EGFR
2WGJ   Crizotinib    VGH             MET
2XP2   Crizotinib    VGH             ALK
2YFX   Crizotinib    VGH             ALK
3AOX   Alectinib     EMH             ALK
3CS9   Nilotinib     NIL             ABL
3LXK   Tofacitinib   MI1             JAK3
3PYY   Imatinib      STI             ABL
3UE4   Bosutinib     DB8             ABL
3UG2   Gefitinib     IRE             EGFR
3WZD   Lenvatinib    LEV             VGFR
3WZE   Sorafenib     BAX             VGFR
3ZOS   Ponatinib     0LI             DDR1
4AG8   Axitinib      AXI             VGFR
4AGC   Axitinib      AXI             VGFR
4AGD   Sunitinib     B49             VGFR
4AN2   Cobimetinib   EUI             MEK
4ANQ   Crizotinib    VGH             ALK
4ANS   Crizotinib    VGH             ALK
4ASD   Sorafenib     BAX             VGFR
4G5J   Afatinib      0WN             EGFR
4G5P   Afatinib      0WN             EGFR
4I22   Gefitinib     IRE             EGFR
4LMN   Cobimetinib   EUI             MEK
4MKC   Ceritinib     4MK             ALK
4WKQ   Gefitinib     IRE             EGFR
4ZAU   Osimertinib   YY3             EGFR
5AAA   Crizotinib    VGH             ALK
5AAB   Crizotinib    VGH             ALK
5AAC   Crizotinib    VGH             ALK
5L2I   Palbociclib   LQQ             CDK6
5MO4   Nilotinib     NIL             ABL
