CONFORMER         crg  vdw0  vdw1  tors  epol  self   occ  Hb     history    ASA
YY301A1101_001 -0.000 14.62  0.00  0.00  0.00 14.62 0.747  00  01O000M000  1.000
YY3+1A1101_002  1.000 15.33  0.00  0.00  0.00 15.33 0.747  00  +1O000M000  1.000
YY3+2A1101_003  1.000 31.00  0.00  0.00  0.00 31.00 0.747  00  +2O000M000  1.000
YY3+3A1101_004  1.000 14.96  0.00  0.00  0.00 14.96 0.747  00  +3O000M000  1.000
YY3+3A1101_005  1.000218.18  0.00  0.00  0.00218.18 0.747  00  +3O000M000  1.000
YY3+3A1101_006  1.000 20.07  0.00  0.00  0.00 20.07 0.747  00  +3O000M000  1.000
YY3+4A1101_007  1.000 23.16  0.00  0.00  0.00 23.16 0.747  00  +4O000M000  1.000
YY3+4A1101_008  1.000226.38  0.00  0.00  0.00226.38 0.747  00  +4O000M000  1.000
YY3+4A1101_009  1.000 28.27  0.00  0.00  0.00 28.27 0.747  00  +4O000M000  1.000
YY3+aA1101_010  2.000 15.73  0.00  0.00  0.00 15.73 0.747  00  +aO000M000  1.000
YY3+aA1101_011  2.000218.95  0.00  0.00  0.00218.95 0.747  00  +aO000M000  1.000
YY3+aA1101_012  2.000 21.27  0.00  0.00  0.00 21.27 0.747  00  +aO000M000  1.000
YY3+bA1101_013  2.000999.00  0.00  0.00  0.00999.00 0.747  00  +bO000M000  1.000
