T:298.15,pH:7.40,eH:0.00
METHOD:MONTERUNS
#N_FIXED:FIXED_CONF_ID
190:2 5 11 12 17 18 19 20 25 26 33 34 35 39 44 45 46 47 52 53 54 55 66 74 77 78 79 82 83 84 90 91 97 119 124 125 131 132 133 139 140 141 142 146 147 158 160 161 166 171 172 174 176 181 182 187 188 189 190 191 196 197 198 199 204 205 211 212 216 228 229 231 236 237 240 241 244 245 246 247 252 253 254 261 262 267 272 273 274 285 287 306 307 308 314 320 321 322 339 340 348 349 355 356 357 359 360 365 366 367 368 373 384 390 395 396 397 398 399 402 403 404 405 410 411 412 413 418 419 420 424 433 434 435 438 439 440 441 442 447 448 449 450 452 456 457 458 460 461 475 476 482 483 493 494 499 500 501 510 511 512 519 520 521 522 529 540 545 550 556 557 558 559 560 561 562 563 573 574 595 596 602 603 606 607 608 609 610 615 620 
#N_FREE residues:CONF_IDs for each free residues
83:0 1 ;3 4 ;7 8 9 10 ;13 14 ;15 16 ;27 28 ;40 41 ;42 43 ;64 65 ;67 68 ;75 76 ;80 81 ;85 86 ;87 88 89 ;92 93 95 96 ;98 99 100 ;102 104 105 ;107 109 110 ;112 113 ;129 130 ;134 135 136 137 138 ;143 144 ;148 149 ;150 151 ;156 157 ;167 168 169 ;177 178 ;179 180 ;206 207 ;208 209 210 ;217 218 219 220 221 ;222 223 ;238 239 ;242 243 ;255 256 257 258 259 260 ;275 276 277 278 ;279 280 281 ;283 284 ;288 290 291 292 ;294 296 297 ;298 299 ;300 301 302 303 304 305 ;315 316 317 318 319 ;330 331 ;332 334 ;335 336 337 ;342 343 ;344 345 346 ;380 382 383 ;385 386 ;391 392 393 394 ;400 401 ;421 423 ;425 426 ;427 428 ;436 437 ;453 454 455 ;462 463 ;464 465 ;466 467 ;468 469 ;471 472 474 ;478 480 481 ;484 485 486 ;487 488 ;502 503 ;504 505 ;506 507 508 ;513 514 ;523 524 ;525 526 527 ;530 531 ;532 533 534 535 536 537 ;538 539 ;565 566 568 ;575 576 578 579 ;580 581 ;582 583 584 ;586 587 588 ;589 590 ;600 601 ;604 605 ;616 617 ;
#EVERY MONTERUN START FROM A NEW STATE
#MC:ITER_MONTERUNS
#N_FREE: FREE_CONF_ID,
#ENERGY, COUNT,NEW_CONF 

MC:0
83:0 3 7 14 16 28 41 43 64 67 75 81 86 89 96 99 102 110 112 130 135 143 148 150 157 169 178 179 207 210 221 223 238 243 259 275 281 283 292 297 299 304 319 330 332 336 343 346 382 385 392 401 423 426 427 436 453 463 465 466 468 474 481 485 487 503 505 506 513 523 527 531 534 538 568 579 580 583 586 590 601 604 617 
-1035.736572,1,222 
-1036.006470,6,488 
-1036.969482,2,504 
-1036.906494,1,76 
-1036.681030,1,605 
-1037.593018,1,507 
-1037.605103,3,280 
-1037.335083,5,487 
-1036.676147,2,582 
-1035.579346,9,303 
-1035.642334,3,75 
-1035.149414,1,301 
-1035.170532,12,589 
-1035.022095,8,284 
-1035.928223,4,209 
-1036.153564,3,604 
-1036.121582,1,156 
-1036.161621,1,454 
-1035.893555,1,167 
-1035.584595,1,584 
-1035.563477,3,590 
-1035.889404,1,526 
-1034.202393,3,469 
-1034.594360,9,533 
-1036.279297,1,468 
-1036.200317,6,239 
-1035.702393,3,4 
-1034.796387,14,206 
-1034.740356,6,9 
-1034.683350,3,80 
-1035.589355,4,207 
-1035.880371,1,488 
-1035.299316,2,344 
-1035.652344,2,3 
-1035.375977,9,149 
-1035.718018,1,279 
-1036.005493,2,283 
-1035.058594,2,505 
-1034.647583,1,534 
-1034.431152,3,605 
-1032.246704,3,113 
-1032.329712,1,238 
-1031.869507,3,1 
-1031.933472,2,81 
-1031.869507,2,80 
-1031.933472,2,81 
-1031.265381,11,100 
-1032.199341,2,504 
-1032.461670,6,148 
-1033.129761,2,99 
-1033.397705,2,345 
-1033.074707,4,177 
-1033.011719,1,76 
-1033.285767,1,169 
-1033.206787,8,239 
-1033.171753,1,453 
-1033.627319,1,530 
