T:298.15,pH:7.40,eH:0.00
METHOD:MONTERUNS
#N_FIXED:FIXED_CONF_ID
192:5 6 14 15 16 20 21 22 24 30 35 36 41 44 45 50 56 57 58 59 72 75 76 77 78 79 88 93 94 95 106 109 110 111 115 120 121 123 130 138 139 140 141 146 153 156 157 163 164 165 166 171 172 177 178 180 184 189 197 202 205 214 215 218 223 224 225 226 228 229 232 235 249 253 254 255 266 272 273 274 279 280 282 283 284 290 296 299 307 308 309 312 313 314 326 332 340 345 348 349 350 353 354 355 356 370 371 381 382 387 402 403 404 410 414 415 420 421 422 425 429 430 431 437 438 439 440 441 446 447 452 453 460 469 470 471 474 475 476 483 488 489 493 494 495 496 498 503 504 505 510 511 516 524 525 527 528 534 540 541 542 548 551 553 554 555 563 570 576 577 579 580 581 593 597 598 605 606 609 622 623 635 637 638 639 644 660 670 671 672 678 688 
#N_FREE residues:CONF_IDs for each free residues
99:1 4 ;7 8 9 10 11 ;12 13 ;25 26 27 28 29 ;37 38 ;39 40 ;42 43 ;46 47 ;48 49 ;51 52 ;54 55 ;60 61 63 64 ;67 68 69 ;70 71 ;73 74 ;80 81 ;82 83 84 85 86 ;97 98 99 100 ;102 105 ;107 108 ;113 114 ;124 125 126 127 128 129 ;131 132 133 134 ;142 143 144 ;147 148 ;149 150 ;151 152 ;154 155 ;158 159 160 ;161 162 ;167 168 169 ;190 191 192 193 194 195 ;203 204 ;206 207 208 ;209 210 ;211 212 213 ;216 217 ;219 220 221 ;230 231 ;236 237 238 240 ;242 244 245 ;256 257 ;267 269 270 271 ;285 286 ;287 289 ;291 292 ;293 294 295 ;297 298 ;300 301 ;305 306 ;310 311 ;316 319 ;320 322 323 324 ;329 331 ;334 335 336 337 338 339 ;346 347 ;351 352 ;357 362 364 365 366 ;367 368 369 ;372 373 374 375 376 377 ;383 384 ;388 389 390 391 392 393 ;394 395 ;396 397 ;405 406 ;407 408 ;411 412 413 ;423 424 ;426 427 ;448 449 ;450 451 ;454 455 456 457 458 ;463 464 465 ;472 473 ;477 478 479 ;481 482 ;490 491 ;499 500 501 ;517 518 ;536 539 ;546 547 ;566 569 ;571 572 ;582 583 ;587 588 ;599 600 601 602 603 604 ;607 608 ;610 611 ;613 614 615 616 ;617 618 619 ;620 621 ;646 648 649 ;650 651 653 654 ;656 658 659 ;662 663 664 665 ;674 676 677 ;679 680 681 682 683 ;689 690 ;691 692 ;
#EVERY MONTERUN START FROM A NEW STATE
#MC:ITER_MONTERUNS
#N_FREE: FREE_CONF_ID,
#ENERGY, COUNT,NEW_CONF 

MC:0
99:4 7 12 29 38 40 43 47 49 52 54 64 69 71 74 81 86 100 105 107 113 128 131 144 148 150 152 155 159 162 168 195 204 206 210 211 217 220 231 240 245 256 271 286 289 291 294 297 301 306 311 319 324 331 337 347 352 365 367 376 383 392 394 397 405 408 412 423 426 449 450 458 465 472 478 481 490 500 518 539 547 569 571 582 588 599 607 611 616 618 620 649 654 659 665 677 683 689 691 
-1327.355713,6,334 
-1327.204834,3,477 
-1326.060791,2,499 
-1326.199707,3,478 
-1326.912842,1,427 
-1327.686768,2,147 
-1326.777588,1,154 
-1325.924561,4,148 
-1326.912842,5,155 
-1327.199829,8,337 
-1326.720825,13,46 
-1327.199829,3,47 
-1327.267944,5,13 
-1328.580078,9,149 
-1328.991089,16,451 
-1329.803101,4,147 
-1330.957153,2,500 
-1330.449585,5,51 
-1330.238525,7,583 
-1329.786499,4,448 
-1329.718384,1,12 
-1329.729004,7,230 
-1331.205933,1,55 
-1331.516479,12,48 
-1331.968384,1,449 
-1332.218262,5,161 
-1332.373169,6,619 
-1331.962158,5,450 
-1330.993896,12,154 
-1331.375977,1,608 
-1331.777954,7,143 
-1331.289062,5,52 
-1330.906860,1,607 
-1331.648193,6,155 
-1331.635498,4,231 
-1331.490601,3,396 
-1331.684570,1,384 
-1330.943359,1,154 
-1331.055420,3,339 
-1331.893433,4,602 
-1331.131470,18,377 
-1331.015259,2,373 
