T:298.15,pH:7.40,eH:0.00
METHOD:MONTERUNS
#N_FIXED:FIXED_CONF_ID
170:0 6 15 24 25 28 30 35 36 48 49 57 58 59 61 63 64 68 71 72 73 75 78 88 94 105 106 114 115 116 117 125 127 129 134 137 138 141 142 143 151 160 161 162 163 165 166 174 175 176 185 186 198 202 212 216 224 227 228 229 230 231 235 236 239 241 250 251 260 264 269 278 279 280 286 295 297 298 299 304 305 311 312 326 327 329 330 331 336 337 338 341 347 348 349 354 355 364 371 372 374 375 376 377 379 380 381 382 383 388 392 393 400 401 402 403 406 411 412 413 414 415 416 417 418 419 425 426 430 433 436 437 439 440 445 446 451 459 460 461 468 473 474 480 481 491 492 497 502 507 510 511 518 519 520 525 526 531 534 537 546 552 553 557 558 564 576 577 585 586 
#N_FREE residues:CONF_IDs for each free residues
78:1 3 5 ;8 11 ;17 18 19 ;26 27 ;32 33 ;37 38 ;39 40 41 ;50 51 ;66 67 ;69 70 ;76 77 ;79 80 ;82 83 85 ;86 87 ;89 90 91 92 93 ;96 99 ;100 101 104 ;107 108 ;109 111 112 113 ;118 119 ;120 121 122 123 124 ;135 136 ;139 140 ;144 145 146 ;148 149 ;156 157 158 159 ;167 168 169 ;177 178 ;179 180 ;182 183 184 ;188 191 ;192 193 194 195 ;203 204 205 206 207 ;208 209 210 ;217 218 ;220 222 223 ;225 226 ;232 233 ;237 238 ;242 243 244 ;245 246 247 248 249 ;262 263 ;271 273 ;274 275 ;276 277 ;307 308 309 ;313 314 315 316 317 ;318 319 ;320 321 322 323 324 325 ;339 340 ;357 358 ;362 363 ;365 366 367 368 369 370 ;389 390 391 ;394 395 ;397 398 ;404 405 ;420 421 422 424 ;427 429 ;434 435 ;447 448 ;449 450 ;452 453 ;462 463 465 466 ;485 486 ;498 499 500 ;508 509 ;527 528 529 ;532 533 ;535 536 ;538 539 540 541 ;554 556 ;562 563 ;569 570 571 572 573 ;574 575 ;579 581 582 ;583 584 ;587 588 ;
#EVERY MONTERUN START FROM A NEW STATE
#MC:ITER_MONTERUNS
#N_FREE: FREE_CONF_ID,
#ENERGY, COUNT,NEW_CONF 

MC:0
78:5 11 17 27 33 38 39 50 66 69 76 79 85 87 93 99 104 108 113 119 124 135 140 144 148 159 167 178 179 183 191 195 207 209 218 223 225 233 238 242 247 262 273 274 277 309 317 318 323 339 357 363 370 389 394 397 405 424 427 435 447 449 453 466 486 500 509 528 533 536 541 556 563 571 574 582 583 588 
6191.419922,1,
6192.820312,3,237 
6192.594727,1,584 
6195.010742,2,535 
6194.883789,6,77 
6195.475586,2,540 
6195.286621,2,587 
6195.452148,2,249 
6195.826172,6,180 
6195.718750,5,210 
6195.541992,1,499 
6195.668945,1,139 
6194.170898,7,238 
6194.902344,2,40 
6193.774414,3,208 
6193.650391,7,140 
6193.198242,2,37 
6193.383789,3,70 
6192.833496,1,358 
6193.157227,9,192 
6193.453125,1,67 
6192.947266,6,308 
6193.076172,2,76 
6193.817383,8,434 
6193.225586,3,541 
6193.619141,1,38 
6191.203125,5,536 
6191.143066,1,448 
6191.314941,4,500 
6191.345703,7,324 
6191.739258,6,307 
6191.798828,6,447 
6191.585938,2,69 
6191.798828,2,70 
6191.605957,2,532 
6190.908203,5,435 
6191.024414,1,169 
6191.675781,1,529 
6191.275391,2,308 
6191.760742,2,429 
6191.275391,1,427 
6191.215332,1,448 
6190.563477,2,41 
6190.295898,3,86 
6189.157227,4,168 
6189.430176,1,319 
6189.984375,2,357 
6189.883789,3,232 
6189.791992,1,149 
6189.496094,13,66 
6189.439453,1,247 
6190.719727,4,209 
6190.552734,1,499 
6191.202148,4,40 
6191.368652,10,500 
6191.635742,2,87 
6193.717773,1,390 
6194.210938,5,429 
6195.593750,1,237 
6196.006836,1,307 
6195.308594,1,572 
6195.122070,11,323 
6194.941406,2,69 
6195.151367,2,533 
6195.339355,4,588 
6195.779297,1,575 
6195.583984,1,499 
6195.764648,1,70 
6193.684082,1,389 
6193.269043,8,179 
