T:298.15,pH:7.40,eH:0.00
METHOD:MONTERUNS
#N_FIXED:FIXED_CONF_ID
194:5 6 15 19 29 30 32 40 47 48 50 55 56 57 62 68 69 70 71 76 77 83 91 94 95 96 97 100 101 102 104 107 108 114 127 132 137 138 149 150 151 156 157 158 159 160 166 177 178 180 181 195 196 203 206 207 208 213 214 215 216 217 222 223 224 225 230 231 237 238 242 254 255 260 261 262 265 266 267 268 269 270 271 276 277 278 285 286 292 297 298 299 310 312 317 331 332 333 339 344 345 346 347 353 354 360 361 368 369 375 376 377 379 380 386 387 388 393 404 405 412 413 418 419 420 421 422 425 426 427 428 433 434 435 436 441 442 443 444 456 459 462 463 464 465 466 472 473 474 475 478 479 480 482 483 504 505 511 512 521 522 527 528 529 538 539 540 547 548 549 558 569 579 585 586 587 589 590 591 592 593 602 603 623 624 629 630 631 634 635 636 637 638 643 
#N_FREE residues:CONF_IDs for each free residues
85:1 2 ;3 4 ;7 8 9 ;12 14 ;17 18 ;20 21 ;22 23 ;25 26 27 28 ;33 34 ;35 36 37 ;38 39 ;41 42 ;63 64 ;65 66 67 ;80 82 ;84 85 ;92 93 ;98 99 ;105 106 ;109 110 111 112 113 ;115 116 117 ;119 121 ;122 123 124 125 126 ;147 148 ;161 162 163 ;164 165 ;167 169 170 ;171 173 ;189 190 ;191 192 193 ;199 201 ;204 205 ;232 233 ;234 235 236 ;243 244 246 247 ;248 249 ;263 264 ;279 280 281 282 283 284 ;300 301 302 ;304 305 306 ;308 309 ;318 319 320 322 ;323 324 ;325 326 327 328 329 330 ;356 357 358 ;362 363 ;364 365 366 367 ;382 385 ;402 403 ;414 415 416 417 ;423 424 ;445 446 ;447 448 ;449 450 451 ;457 458 ;460 461 ;470 471 ;476 477 ;484 485 ;486 487 488 489 ;490 491 ;492 493 ;502 503 ;507 509 510 ;513 514 ;515 516 ;530 531 ;532 533 ;534 535 536 ;541 542 ;550 551 ;552 553 ;554 555 556 ;559 560 ;561 562 563 564 565 566 ;567 568 ;571 572 574 ;595 596 597 598 ;604 605 607 608 ;609 610 ;611 612 613 ;615 616 ;617 618 ;632 633 ;644 645 ;
#EVERY MONTERUN START FROM A NEW STATE
#MC:ITER_MONTERUNS
#N_FREE: FREE_CONF_ID,
#ENERGY, COUNT,NEW_CONF 

MC:0
85:2 4 9 14 17 20 22 27 34 37 38 42 64 67 82 85 92 99 106 113 117 121 126 148 162 164 167 171 189 192 201 204 233 235 247 249 264 280 301 304 308 322 323 329 357 363 366 385 403 417 424 445 448 451 458 461 471 476 485 486 490 492 502 510 514 515 531 532 535 541 551 552 554 559 561 567 574 598 608 609 612 616 618 633 644 
-2213.915283,2,516 
-2213.819824,4,617 
-2213.909180,4,553 
-2217.199219,8,84 82 
-2217.284180,1,302 
-2216.866211,2,611 
-2216.689209,5,279 
-2215.604980,4,161 
-2215.929199,3,25 
-2216.833008,3,488 
-2216.929199,1,263 
-2216.837646,4,552 
-2217.203125,2,515 
-2217.622314,1,612 
-2217.703613,1,618 
-2217.515625,3,236 
-2216.623535,3,533 
-2216.515625,5,39 
-2216.460449,1,536 
-2216.416504,1,8 
-2216.367676,2,309 
-2216.411621,3,9 
-2216.519775,1,38 
-2216.900879,1,281 
-2217.213867,1,367 
-2217.531250,2,457 
-2219.073486,3,450 
-2218.826416,1,23 
-2219.005371,4,115 
-2218.580566,1,449 
-2217.497803,4,105 
-2217.589600,3,330 
-2217.399414,4,117 
-2217.180664,1,560 
-2217.056641,1,199 
-2215.916504,5,63 
-2216.162598,4,22 
-2216.381348,1,559 
-2216.615234,4,556 
-2215.864258,1,356 
-2215.936279,2,535 
-2216.149902,2,66 
-2216.078125,1,536 
-2217.161621,1,93 
-2217.221680,3,555 
-2216.721680,2,193 
-2216.506836,4,67 
-2217.423828,1,532 
-2217.552734,2,632 
-2217.537598,5,191 
-2217.617676,1,301 
-2217.745850,3,201 
-2216.785889,4,41 
-2217.211914,3,402 
-2217.084473,2,199 
