T:298.15,pH:7.40,eH:0.00
METHOD:MONTERUNS
#N_FIXED:FIXED_CONF_ID
191:0 5 6 8 13 18 23 24 32 33 39 40 41 42 43 44 47 54 55 59 60 61 62 68 71 72 76 81 82 85 86 87 96 97 101 106 107 110 111 130 131 135 136 137 141 142 151 156 157 163 168 177 185 190 191 192 197 198 200 201 203 206 210 211 212 221 225 226 229 232 233 234 235 238 244 248 253 261 262 278 279 282 286 288 289 290 291 299 304 305 307 308 317 318 319 322 327 328 337 338 343 344 345 351 354 357 366 371 375 376 379 390 391 400 401 402 405 406 410 411 416 417 418 419 423 427 428 429 430 431 437 445 451 452 453 454 455 456 457 458 459 465 466 472 474 475 482 483 484 485 487 488 489 490 491 492 502 508 516 517 518 522 527 528 530 531 533 534 545 546 551 552 554 557 558 559 560 563 564 565 588 599 604 605 606 607 608 613 616 617 620 
#N_FREE residues:CONF_IDs for each free residues
79:25 26 28 29 ;30 31 ;35 36 37 38 ;45 46 ;48 49 ;50 51 ;56 58 ;69 70 ;73 74 75 ;83 84 ;89 91 ;92 93 ;94 95 ;108 109 ;112 113 114 115 116 117 ;118 119 120 121 122 ;123 124 125 ;127 128 ;132 133 ;138 139 ;143 144 ;145 146 ;158 159 160 162 ;164 165 166 ;179 180 181 182 ;204 205 ;223 224 ;227 228 ;230 231 ;236 237 ;239 240 ;241 242 ;254 255 ;256 257 258 ;259 260 ;263 264 ;269 270 272 273 ;280 281 ;283 284 285 ;293 294 295 ;309 310 311 ;325 326 ;330 333 ;334 335 336 ;339 340 ;341 342 ;352 353 ;358 359 360 361 362 363 364 365 ;377 378 ;380 381 382 383 384 385 ;386 387 388 ;392 393 ;394 395 ;403 404 ;407 408 409 ;424 425 ;433 434 435 436 ;438 439 ;440 441 442 443 444 ;447 448 449 450 ;460 463 464 ;469 470 471 ;476 477 ;493 495 498 500 501 ;506 507 ;509 510 ;519 520 ;523 524 525 ;536 538 539 ;555 556 ;566 567 ;578 579 ;580 581 582 ;583 584 586 587 ;589 591 593 ;594 595 598 ;609 610 611 ;614 615 ;618 619 ;
#EVERY MONTERUN START FROM A NEW STATE
#MC:ITER_MONTERUNS
#N_FREE: FREE_CONF_ID,
#ENERGY, COUNT,NEW_CONF 

MC:0
79:29 31 38 46 49 50 56 70 75 84 91 92 94 108 117 122 124 128 132 138 143 146 160 166 181 205 224 228 231 237 240 241 255 256 260 264 273 281 285 293 309 325 333 335 340 341 353 364 378 381 387 392 395 403 408 424 436 439 444 450 464 471 476 493 507 509 519 524 539 556 567 578 580 587 593 598 610 614 618 
-2130.853027,2,239 
-2130.416992,2,139 
-2130.612793,2,384 
-2130.430420,1,127 
-2129.851318,13,377 
-2129.012207,3,125 
-2129.851318,6,124 
-2128.650146,3,386 
-2128.904053,6,581 
-2129.352051,5,138 
-2129.119385,2,93 
-2129.304199,4,295 
-2128.865234,5,139 
-2128.282227,2,523 
-2128.136475,10,382 
-2128.321045,8,128 
-2128.650879,2,69 
-2127.259521,3,258 
-2126.416992,2,74 
-2126.155273,2,580 
-2126.553223,1,138 
-2126.763184,2,310 
-2126.877197,11,525 
-2126.763184,3,523 
-2126.588379,3,293 
-2123.789795,2,254 
-2124.798828,2,240 
-2124.959717,2,384 
-2125.092773,3,133 
-2123.840332,3,223 
-2126.654053,2,255 
-2126.799072,1,581 
-2124.617920,2,227 
-2124.124512,4,520 
-2124.617920,3,519 
-2124.771729,3,295 
-2124.575928,4,326 
-2124.685059,2,165 
-2126.886963,2,228 
-2126.708984,3,132 
-2126.818848,2,525 
-2125.914795,7,609 
-2126.366943,12,611 
-2123.247559,2,204 
-2122.811523,9,58 
-2123.032959,2,92 
-2122.876221,5,382 
-2122.482422,1,619 
-2122.459473,1,293 
-2123.645508,1,387 
-2123.968506,1,618 
-2123.896484,6,311 
-2124.077393,2,339 
-2124.620361,3,378 
-2124.800293,7,133 
-2125.236572,1,56 
-2125.032715,9,70 
-2125.023682,5,309 
-2125.088379,1,69 
