T:298.15,pH:7.40,eH:0.00
METHOD:MONTERUNS
#N_FIXED:FIXED_CONF_ID
193:2 5 11 12 14 17 22 29 30 32 37 38 39 43 48 49 50 51 56 57 58 59 65 76 77 78 81 82 83 85 89 90 95 96 108 122 123 129 130 131 137 138 139 140 146 147 149 154 156 157 165 171 172 174 176 179 180 181 186 187 188 189 190 195 196 197 198 207 209 215 216 221 233 234 238 240 243 244 247 248 249 250 251 256 257 258 265 266 272 277 278 279 290 292 311 312 313 319 325 326 327 332 333 339 340 348 349 355 356 357 359 360 361 367 368 369 375 384 386 394 399 400 401 402 403 406 407 408 409 414 415 416 417 423 424 425 431 437 438 441 442 443 444 445 451 452 455 458 459 460 462 463 477 478 479 485 486 496 497 502 503 504 513 514 515 522 523 524 533 544 553 559 565 566 567 568 569 570 571 572 581 582 588 603 604 610 611 614 615 616 617 618 623 
#N_FREE residues:CONF_IDs for each free residues
80:0 1 ;3 4 ;7 8 9 10 ;15 16 ;18 19 21 ;23 24 ;44 45 ;46 47 ;61 62 63 64 ;66 67 ;72 73 ;74 75 ;79 80 ;86 87 88 ;97 98 99 ;101 103 ;109 110 112 ;116 117 ;126 127 128 ;135 136 ;141 142 143 ;144 145 ;152 153 ;167 168 169 ;177 178 ;210 211 ;212 213 214 ;222 223 224 225 226 ;227 228 ;241 242 ;245 246 ;259 260 261 262 263 264 ;280 281 282 283 ;284 285 286 ;288 289 ;295 297 ;298 299 300 301 302 ;303 304 ;305 306 307 308 309 310 ;322 324 ;335 336 337 ;342 343 ;344 345 346 347 ;364 365 366 ;387 388 ;395 396 397 398 ;404 405 ;419 420 421 422 ;427 428 ;429 430 ;434 436 ;439 440 ;448 450 ;453 454 ;456 457 ;464 465 ;466 468 ;469 470 ;471 472 ;480 481 482 483 484 ;487 488 489 ;490 491 ;505 506 ;507 508 ;509 510 511 ;516 517 ;525 526 ;527 528 ;529 530 531 ;534 535 ;536 537 538 539 540 541 ;542 543 ;574 575 576 577 ;583 584 585 587 ;590 591 592 ;594 595 596 ;597 598 ;605 606 608 609 ;612 613 ;624 625 ;
#EVERY MONTERUN START FROM A NEW STATE
#MC:ITER_MONTERUNS
#N_FREE: FREE_CONF_ID,
#ENERGY, COUNT,NEW_CONF 

MC:0
80:1 3 9 16 18 24 45 47 64 66 73 74 79 88 97 101 110 117 128 136 142 145 153 167 177 211 214 226 228 241 245 263 282 286 289 297 302 304 309 324 336 343 344 366 387 397 405 422 428 430 436 439 450 453 456 465 468 469 471 484 489 490 506 507 510 516 526 527 530 534 539 542 577 587 592 594 597 609 612 624 
-1176.650635,1,
-1177.078613,5,178 
-1177.428711,3,285 
-1177.285889,2,23 
-1177.228882,2,396 
-1176.858887,1,177 
-1176.508789,2,286 
-1176.212646,6,75 
-1176.357666,2,281 
-1176.707764,2,285 
-1175.519043,4,210 
-1174.928955,6,152 
-1175.298828,2,178 
-1176.236816,2,227 
-1175.145752,3,246 
-1175.735840,5,153 
-1175.627686,4,598 
-1175.500732,1,8 
-1175.643555,3,242 
-1175.909668,1,488 
-1175.539673,4,177 
-1175.492798,2,288 
-1174.885620,2,398 
-1174.970459,8,24 
-1174.827637,4,241 
-1175.125854,9,74 
-1173.726685,3,508 
-1174.333862,1,396 
-1174.460938,1,9 
-1174.854858,1,538 
-1176.008667,3,211 
-1176.116699,1,597 
-1176.240234,2,466 
-1177.630371,9,507 
-1177.161377,4,529 
-1177.189331,2,99 
-1177.236206,1,289 
-1177.295166,1,397 
-1178.354248,2,591 
-1178.491211,3,242 
-1177.895996,1,388 
-1177.648193,2,613 
-1176.505493,1,210 
-1176.460693,2,288 
-1175.686401,1,454 
-1176.281494,1,387 
-1176.709473,8,178 
-1175.760498,6,509 
-1175.832520,7,282 
-1176.011353,1,491 
-1176.263550,18,4 
-1176.511230,3,612 
-1176.867310,3,98 
-1176.478271,1,97 
-1176.972778,4,537 
-1176.900879,4,281 
-1176.598755,1,489 
-1176.515625,4,598 
-1176.099731,1,177 
