T:298.15,pH:7.40,eH:0.00
METHOD:MONTERUNS
#N_FIXED:FIXED_CONF_ID
206:4 5 6 8 11 12 13 19 20 21 23 35 36 43 46 47 50 51 54 55 59 60 61 62 67 72 74 75 80 81 82 83 84 86 92 96 102 105 106 109 113 119 120 125 136 140 141 142 146 151 152 153 160 168 169 170 171 176 180 181 182 185 186 187 189 191 192 193 194 199 200 209 213 226 234 239 241 242 245 250 251 253 254 257 260 263 273 279 284 285 286 287 295 301 302 303 309 310 312 313 314 316 317 318 327 329 330 338 339 340 341 344 345 346 351 352 353 354 356 357 358 359 360 374 375 382 383 384 394 403 404 405 411 415 416 422 423 426 427 430 431 437 438 439 440 441 447 452 453 460 469 470 471 474 475 476 483 488 489 491 493 494 495 496 498 503 504 505 510 511 516 525 526 529 533 538 539 540 541 546 547 551 552 553 557 562 563 571 575 576 577 594 598 599 603 608 634 645 646 651 652 657 664 666 667 668 
#N_FREE residues:CONF_IDs for each free residues
79:9 10 ;25 27 28 ;29 30 ;37 38 ;39 40 41 ;44 45 ;48 49 ;52 53 ;57 58 ;78 79 ;87 88 89 90 91 ;97 98 99 100 101 ;103 104 ;107 108 ;110 111 ;114 116 118 ;134 135 ;137 138 ;144 145 ;154 155 156 157 158 159 ;161 162 163 ;172 173 174 ;177 178 179 ;183 184 ;195 196 197 198 ;202 205 ;206 207 ;215 216 217 218 ;219 221 222 223 224 ;227 228 229 230 231 ;232 233 ;235 236 ;237 238 ;243 244 ;246 247 248 ;255 256 ;258 259 ;264 268 ;298 300 ;319 320 ;321 322 323 324 ;331 332 333 ;342 343 ;362 369 370 ;371 372 373 ;376 377 ;386 387 ;388 389 390 391 392 393 ;396 397 398 ;406 407 ;408 409 ;412 413 414 ;417 418 419 421 ;424 425 ;428 429 ;443 445 446 ;448 449 ;450 451 ;454 455 456 457 458 ;461 462 464 465 ;472 473 ;477 478 479 ;481 482 ;499 500 501 ;517 518 519 ;527 528 ;548 549 ;564 565 566 ;572 573 ;578 579 ;580 582 584 585 587 588 589 ;600 601 602 ;609 610 611 612 613 ;614 615 616 617 618 ;631 632 633 ;637 638 639 ;640 641 642 643 644 ;658 659 660 661 662 ;670 671 ;
#EVERY MONTERUN START FROM A NEW STATE
#MC:ITER_MONTERUNS
#N_FREE: FREE_CONF_ID,
#ENERGY, COUNT,NEW_CONF 

MC:0
79:10 28 30 38 41 44 48 52 58 78 91 101 103 108 110 118 135 137 144 156 162 173 179 183 197 205 206 218 223 231 233 235 238 244 246 256 258 268 300 319 324 333 343 370 371 376 387 390 397 406 409 413 421 424 429 446 449 450 458 465 472 478 481 500 518 528 549 565 572 578 588 602 613 617 631 639 644 662 670 
-2244.603027,5,207 
-2244.999756,1,451 
-2245.590576,5,49 
-2246.294434,4,232 
-2246.175293,2,138 
-2245.811523,3,477 
-2246.134766,4,601 
-2246.500732,3,478 
-2246.220215,9,206 
-2245.823486,2,450 
-2245.441162,4,45 
-2245.168457,2,579 
-2244.610840,1,548 
-2242.940430,1,482 
-2243.090820,2,111 
-2244.358398,4,618 
-2244.556641,1,44 
-2244.358398,8,45 
-2244.477539,3,137 
-2243.529297,10,163 
-2243.735840,6,44 
-2244.424561,3,247 
-2244.269531,3,501 
-2245.919922,2,481 
-2245.658936,1,566 
-2246.600098,6,162 
-2246.453857,8,110 
-2244.277588,10,407 
-2244.569092,3,207 
-2244.191162,2,477 
-2246.367188,1,406 
-2246.596924,1,578 
-2246.367188,4,579 
-2246.764160,1,451 
-2246.277100,2,79 
-2245.976807,2,602 
-2246.220215,4,578 
-2246.816406,1,564 
-2246.945312,4,573 
-2246.196289,10,246 
-2245.493164,11,134 
-2245.248779,4,259 
-2244.969238,15,671 
-2245.343262,1,478 
-2245.849121,1,78 
-2246.093506,8,258 
-2245.838867,6,579 
-2243.101807,1,398 
-2243.366211,2,670 
-2243.499023,2,323 
-2243.258789,6,45 
-2243.508301,2,578 
-2242.505371,2,40 
-2242.254883,16,206 
