T:298.15,pH:7.40,eH:0.00
METHOD:MONTERUNS
#N_FIXED:FIXED_CONF_ID
202:5 6 12 13 14 20 21 22 24 29 37 41 42 45 46 54 60 61 62 63 68 75 76 78 79 80 81 82 83 85 91 92 95 99 105 106 122 123 125 126 127 133 138 139 141 148 157 158 159 160 165 174 176 177 178 179 180 182 183 184 185 190 191 196 197 199 203 216 221 224 231 233 234 237 242 244 245 246 249 255 265 269 274 275 276 277 296 297 298 303 304 306 307 308 310 313 319 321 322 331 332 333 336 337 338 350 365 370 373 374 375 378 379 380 381 386 390 391 401 402 405 416 421 422 423 429 433 434 439 440 441 444 450 451 457 458 459 460 461 467 470 471 472 479 484 490 491 492 495 496 497 504 509 510 514 515 516 517 519 524 525 526 535 537 554 555 558 562 567 568 569 570 576 580 581 582 586 591 592 598 599 601 602 603 604 613 623 625 629 634 639 640 645 650 651 652 657 658 663 670 672 673 
#N_FREE residues:CONF_IDs for each free residues
81:1 2 3 4 ;7 8 9 ;10 11 ;30 31 ;33 35 36 ;38 39 ;43 44 ;47 48 ;49 50 ;51 52 53 ;55 56 ;58 59 ;71 73 ;86 87 89 90 ;93 94 ;96 97 ;100 104 ;115 116 ;118 120 121 ;128 130 131 132 ;142 143 144 145 146 147 ;149 150 151 ;161 162 163 ;166 167 168 ;169 170 ;171 172 173 ;186 187 188 189 ;205 207 208 ;209 210 211 212 213 214 ;222 223 ;225 226 227 ;229 230 ;235 236 ;238 239 240 ;247 248 ;250 251 ;252 253 ;256 260 ;284 285 ;294 295 ;311 312 ;314 315 ;316 317 ;323 324 325 ;327 329 330 ;334 335 ;340 341 342 343 ;344 345 346 347 348 ;352 353 354 355 ;356 357 358 ;359 360 361 362 363 364 ;371 372 ;376 377 ;387 388 389 ;392 393 394 395 396 397 ;403 404 ;407 408 409 410 411 412 ;413 414 ;424 425 ;426 427 ;430 431 432 ;442 443 ;445 446 447 ;448 449 ;464 465 466 ;468 469 ;473 474 475 476 477 ;493 494 ;498 499 500 ;502 503 ;511 512 ;520 521 522 ;541 542 ;543 545 546 ;556 557 ;574 575 ;577 578 ;593 594 ;617 618 619 ;626 627 628 ;664 665 666 667 668 ;
#EVERY MONTERUN START FROM A NEW STATE
#MC:ITER_MONTERUNS
#N_FREE: FREE_CONF_ID,
#ENERGY, COUNT,NEW_CONF 

MC:0
81:4 7 10 31 36 39 44 47 50 51 56 59 73 90 94 96 104 116 121 130 144 150 162 168 169 171 188 208 214 222 226 229 236 239 248 250 252 260 285 295 312 314 316 325 330 335 343 348 355 357 359 372 377 387 396 403 411 413 424 427 431 443 447 449 466 468 477 493 498 502 512 521 542 545 557 575 578 594 619 628 668 
3231.490723,2,
3231.620361,4,166 
3232.026611,3,52 
3232.408691,4,409 260 
3233.455566,1,235 
3233.401855,3,48 
3233.524414,3,149 
3233.243408,2,469 
3232.196533,13,236 
3232.417725,2,131 
3232.150391,1,317 
3232.043701,3,150 
3231.973389,6,294 
3231.581055,3,51 
3231.166260,19,172 
3234.177490,1,329 
3234.426025,10,442 
3234.712891,3,468 
3235.108154,2,52 
3233.788330,3,53 
3233.968994,2,362 
3234.009277,6,186 
3233.021240,1,445 
3233.314209,3,170 
3230.352295,2,330 
3230.559570,1,11 
3230.821533,6,167 
3230.836914,1,593 
3230.821533,8,594 
3232.106689,1,546 
3232.122070,2,593 
3230.836914,3,545 
3231.096191,2,316 
3230.119141,3,363 
3229.828125,3,169 
3230.667236,9,577 
3230.791748,2,149 
3231.270264,2,9 
3231.002930,2,317 
3231.396973,5,251 
3230.562012,3,578 
3230.884277,14,49 
3230.562012,3,50 
3231.674805,9,520 
3231.249512,2,250 
3231.609375,11,171 
3232.551270,3,51 
3232.491943,1,499 
3232.885254,6,52 
3232.491943,1,51 
3232.038574,3,130 
3231.751709,2,469 
3232.540283,1,115 
3231.751709,7,116 
3231.810059,1,295 
3232.082275,5,316 
3231.832764,1,7 
3232.010010,2,49 
3233.218018,2,315 
3232.010010,3,314 
