T:298.15,pH:7.40,eH:0.00
METHOD:MONTERUNS
#N_FIXED:FIXED_CONF_ID
190:0 1 15 21 26 27 28 32 37 41 42 45 47 48 49 52 53 58 59 69 70 71 76 83 84 93 96 97 98 100 101 102 104 109 110 126 136 137 138 139 140 151 153 154 155 156 163 179 180 182 183 184 186 187 188 197 198 199 200 201 202 203 204 209 210 216 217 218 220 229 234 238 242 249 250 251 252 257 258 259 269 270 280 281 282 285 290 294 295 308 309 311 312 315 321 322 323 330 332 337 338 344 355 356 357 362 363 365 366 367 368 373 375 378 379 381 382 391 392 393 394 395 396 397 400 401 402 403 408 412 413 418 422 423 424 426 427 431 436 437 438 441 442 443 444 445 451 452 453 455 456 458 459 463 464 467 472 477 482 483 496 501 502 504 516 517 521 522 523 528 529 535 540 541 549 550 565 573 574 575 583 584 588 596 597 609 612 613 616 619 
#N_FREE residues:CONF_IDs for each free residues
71:2 3 ;13 14 ;16 17 18 ;19 20 ;43 44 ;50 51 ;63 68 ;77 78 ;79 80 81 82 ;85 86 87 88 ;94 95 ;111 113 ;114 115 116 117 118 119 ;120 121 ;127 128 129 130 131 132 ;149 150 ;157 158 159 160 161 162 ;164 165 166 167 168 169 170 171 172 ;173 176 ;189 190 191 ;193 194 195 ;211 212 213 ;221 222 ;223 224 225 ;226 227 ;235 236 ;243 244 ;253 254 ;255 256 ;262 264 ;271 272 ;274 275 ;283 284 ;291 292 ;296 297 298 299 ;300 302 303 ;306 307 ;313 314 ;317 319 320 ;324 325 ;333 334 335 ;353 354 ;376 377 ;383 384 385 ;398 399 ;409 411 ;428 429 ;439 440 ;446 447 450 ;460 461 ;465 466 ;484 485 486 ;507 509 ;510 511 ;531 532 ;533 534 ;542 543 ;545 546 ;547 548 ;553 555 557 559 560 ;561 562 563 ;566 567 ;576 577 ;585 586 587 ;589 590 ;593 594 595 ;598 599 600 602 ;603 604 605 606 607 608 ;610 611 ;614 615 ;617 618 ;
#EVERY MONTERUN START FROM A NEW STATE
#MC:ITER_MONTERUNS
#N_FREE: FREE_CONF_ID,
#ENERGY, COUNT,NEW_CONF 

MC:0
71:3 13 18 20 44 50 68 78 80 87 94 113 117 121 130 149 158 164 173 189 193 212 222 225 227 235 243 253 256 264 272 275 284 291 297 300 307 314 320 325 334 354 376 385 398 409 428 439 450 461 466 486 509 511 531 534 542 546 548 553 562 566 576 585 589 595 602 603 610 614 618 
-2137.560303,3,
-2136.354248,1,86 
-2137.120361,3,298 
-2137.392334,6,226 
-2137.919434,3,324 
-2137.393311,5,115 
-2136.675293,3,165 
-2136.431396,1,150 
-2136.283447,3,16 
-2136.455566,3,271 
-2137.661377,4,87 
-2138.029297,2,399 
-2137.383301,1,211 
-2137.717529,2,292 
-2138.989746,3,79 
-2138.343750,4,561 
-2138.218750,6,303 
-2137.228027,2,611 
-2135.852051,4,190 
-2136.070068,1,615 
-2136.335205,5,563 
-2135.802002,3,604 
-2135.575195,5,614 
-2136.430664,1,610 
-2137.806641,1,189 
-2138.215332,4,562 
-2137.946045,3,617 
-2137.867188,5,429 
-2137.939209,2,51 
-2138.018066,5,428 
-2138.737305,3,510 
-2139.282227,2,384 
-2139.430176,13,18 
-2139.282227,3,16 
-2139.365967,2,577 
-2140.037842,5,212 
-2139.865967,5,272 
-2140.522949,2,603 
-2140.155029,2,398 
-2138.944092,1,532 
-2138.262207,2,131 
-2138.214355,2,50 
-2138.370117,3,18 
-2138.280273,1,576 
-2138.527344,3,149 
-2138.371582,1,16 
-2138.543457,1,271 
-2138.789551,6,116 
-2138.542480,8,150 
-2138.791992,2,170 
-2140.004883,9,531 
-2139.753418,15,165 
-2139.801514,6,51 
-2141.295898,1,560 
-2141.365967,1,117 
-2141.982178,3,172 
-2141.921875,3,577 
-2141.407715,2,325 
-2142.456543,3,129 
-2142.023438,2,213 
-2140.638672,1,191 
-2140.979492,3,587 
-2140.378418,3,385 
-2140.296387,1,50 
-2140.077881,2,114 
-2140.323730,4,149 
